Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Average Packet Size,Packet Length Std,Flow IAT Mean,Flow IAT Std,Label
1103022,11,29,1384.3,34415.4,32455.98,36.26,894.99,167.74,28282.63,29266.55,BENIGN
3233711,14,11,2203.8,11953.6,4378.05,7.73,566.29,151.71,134737.98,67128.74,BENIGN
2902368,24,25,3607.8,13487.3,5890.06,16.88,348.88,232.01,60466.0,39185.71,BENIGN
3759573,6,16,646.5,7852.5,2260.62,5.85,386.32,283.43,179027.33,195069.15,BENIGN
1180178,21,31,4147.6,25212.6,24877.72,44.06,564.62,137.38,23140.75,27690.88,BENIGN
3868593,10,37,1486.3,24835.3,6803.93,12.15,560.03,156.83,84099.86,80177.45,BENIGN
3609018,29,38,4346.6,17757.9,6124.8,18.56,329.92,115.56,54682.11,60625.98,BENIGN
2504430,8,30,1223.1,12121.5,5328.4,15.17,351.17,115.38,67687.31,53734.27,BENIGN
2829201,21,38,1313.1,30214.4,11143.61,20.85,534.36,119.34,48779.34,30722.3,BENIGN
3027847,8,22,825.0,18348.7,6332.46,9.91,639.12,191.94,104408.55,91117.28,BENIGN
1151754,11,13,1632.0,13466.0,13108.68,20.84,629.08,190.58,50076.3,41023.18,BENIGN
2071567,10,24,1400.8,24356.2,12433.6,16.41,757.56,89.59,62774.76,75021.84,BENIGN
1985789,19,11,2124.6,4536.0,3354.15,15.11,222.02,284.23,68475.49,46930.75,BENIGN
3873288,8,38,564.4,24493.2,6469.33,11.88,544.73,122.0,86073.07,46619.53,BENIGN
2044063,23,30,2650.9,32261.1,17079.71,25.93,658.72,284.6,39308.91,14283.86,BENIGN
993891,20,27,2204.2,16289.9,18607.82,47.29,393.49,144.96,21606.33,12754.12,BENIGN
3424945,14,34,1421.2,25018.0,7719.6,14.01,550.82,136.37,72871.17,61966.9,BENIGN
510057,12,25,1811.9,24039.3,50683.03,72.54,698.68,255.07,14168.27,15599.34,BENIGN
1484381,7,7,849.7,6563.3,4994.03,9.43,529.5,152.19,114183.2,50187.79,BENIGN
3930995,27,27,2566.0,11638.8,3613.53,13.74,263.05,146.72,74169.72,58102.65,BENIGN
1441274,13,10,1612.2,10736.2,8567.7,15.96,536.89,122.76,65512.49,43907.68,BENIGN
2858146,13,21,2556.1,17073.8,6868.05,11.9,577.35,151.05,86610.5,87967.47,BENIGN
1229162,28,31,1779.4,36273.7,30958.52,48.0,644.97,263.92,21192.46,19632.2,BENIGN
1754021,6,39,561.4,18528.8,10883.72,25.66,424.23,120.23,39864.12,45491.04,BENIGN
2625428,12,10,1747.7,7356.8,3467.81,8.38,413.84,134.5,125020.39,77559.58,BENIGN
3079815,19,33,1262.4,14275.2,5044.98,16.88,298.8,268.2,60388.53,56360.14,BENIGN
2001860,21,26,2652.0,14002.6,8319.56,23.48,354.35,175.45,43518.71,28663.78,BENIGN
2540230,10,39,965.3,16077.5,6709.14,19.29,347.81,285.36,52921.47,39740.63,BENIGN
2249634,18,9,2631.9,10396.0,5791.15,12.0,482.52,287.74,86524.4,93487.8,BENIGN
2618333,25,29,3870.1,24902.1,10988.75,20.62,532.82,108.27,49402.52,50888.74,BENIGN
3318430,17,8,2972.6,7369.5,3116.57,7.53,413.68,125.47,138267.92,75572.41,BENIGN
1015438,19,7,1243.6,6262.2,7391.75,25.6,288.69,154.04,40617.55,36155.72,BENIGN
1664507,15,31,1615.3,18865.2,12304.26,27.64,445.23,189.13,36989.05,34163.13,BENIGN
1523679,16,34,1047.8,24968.1,17074.4,32.82,520.32,292.87,31095.49,24664.16,BENIGN
1809189,29,23,2755.1,19882.0,12512.27,28.74,435.33,270.77,35474.31,28580.94,BENIGN
1106668,28,18,4580.4,10630.6,13744.9,41.57,330.67,163.1,24592.62,19204.25,BENIGN
323,1,0,61.5,0.0,190315.41,3094.93,61.49,0.0,0.0,0.0,PortScan
264,2,1,120.7,40.0,608431.07,11361.01,53.55,1.77,132.03,0.0,PortScan
576,1,1,53.8,40.0,162714.2,3470.77,46.88,3.16,576.24,0.0,PortScan
296,1,0,53.3,0.0,179638.51,3371.03,53.29,0.0,0.0,0.0,PortScan
167,1,1,59.0,40.0,592518.76,11976.02,49.48,0.46,167.0,0.0,PortScan
321,1,1,41.3,40.0,252665.53,6212.51,40.67,3.69,321.93,0.0,PortScan
350,1,0,43.4,0.0,124000.98,2855.07,43.43,0.0,0.0,0.0,PortScan
468,2,1,120.2,40.0,341801.48,6398.9,53.42,2.13,234.42,0.0,PortScan
172,1,1,56.9,40.0,562298.36,11599.78,48.47,0.41,172.42,0.0,PortScan
96,1,0,60.7,0.0,628128.06,10345.46,60.72,0.0,0.0,0.0,PortScan
534,1,1,63.7,40.0,194055.44,3743.93,51.83,3.77,534.2,0.0,PortScan
256,1,0,49.1,0.0,190983.0,3891.92,49.07,0.0,0.0,0.0,PortScan
437,2,1,85.3,40.0,286291.71,6852.5,41.78,2.46,218.9,0.0,PortScan
56,2,0,115.6,0.0,2054720.65,35559.03,57.78,3.84,56.24,0.0,PortScan
502,1,1,54.0,40.0,187053.45,3979.82,47.0,4.81,502.53,0.0,PortScan
256,1,0,52.7,0.0,205641.06,3903.52,52.68,0.0,0.0,0.0,PortScan
289,2,0,126.6,0.0,436416.75,6896.92,63.28,0.22,289.98,0.0,PortScan
540,2,1,124.1,40.0,303848.97,5554.23,54.71,1.26,270.06,0.0,PortScan
432,1,0,55.1,0.0,127418.75,2312.27,55.11,0.0,0.0,0.0,PortScan
432,1,1,56.7,40.0,223560.77,4622.55,48.36,1.92,432.66,0.0,PortScan
455,1,0,62.8,0.0,137920.8,2195.85,62.81,0.0,0.0,0.0,PortScan
539,2,0,96.1,0.0,178101.66,3706.14,48.06,0.85,539.65,0.0,PortScan
405,2,0,108.0,0.0,266201.05,4928.94,54.01,0.39,405.77,0.0,PortScan
585,2,0,81.6,0.0,139185.49,3413.45,40.78,1.4,585.92,0.0,PortScan
276,1,0,43.9,0.0,158973.85,3621.04,43.9,0.0,0.0,0.0,PortScan
7465563,7898,1,400161.8,40.0,53606.38,1058.03,50.66,5.07,945.25,355.18,DoS Hulk
2496490,2749,2,122944.9,80.0,49279.14,1101.33,44.72,1.18,907.81,193.31,DoS Hulk
6863319,8166,0,408527.2,0.0,59523.26,1189.82,50.03,6.25,840.58,183.16,DoS Hulk
6974985,5965,0,307192.1,0.0,44041.97,855.27,51.5,3.9,1169.51,212.88,DoS Hulk
2338252,2552,0,134106.4,0.0,57353.26,1091.78,52.55,6.25,916.6,342.76,DoS Hulk
5510897,5405,1,311297.5,40.0,56494.89,980.9,57.59,2.73,1019.59,239.77,DoS Hulk
2774956,3227,4,152687.6,160.0,55081.07,1163.24,47.31,7.15,859.12,281.02,DoS Hulk
2281378,1402,1,72862.8,40.0,31955.61,614.94,51.96,4.33,1627.23,568.57,DoS Hulk
3846663,4050,3,214548.8,120.0,55806.49,1053.11,52.97,7.14,949.32,209.84,DoS Hulk
2804091,1186,4,63955.0,160.0,22864.8,423.03,53.88,5.93,2358.36,386.51,DoS Hulk
2818228,1160,1,61988.9,40.0,22009.88,411.64,53.43,3.75,2429.51,561.81,DoS Hulk
7424952,5038,0,284840.7,0.0,38362.63,678.6,56.54,3.78,1474.08,422.51,DoS Hulk
7174182,8319,3,427176.9,120.0,59560.36,1159.62,51.35,6.89,862.18,285.1,DoS Hulk
2397415,1046,4,51838.3,160.0,21689.32,436.69,49.52,2.46,2285.43,625.97,DoS Hulk
4049379,3360,2,155303.3,80.0,38372.14,829.81,46.22,5.49,1204.81,186.22,DoS Hulk
4074003,4552,2,237813.7,80.0,58393.09,1117.43,52.24,7.81,894.8,251.06,DoS Hulk
3343094,3535,1,171297.1,40.0,51251.04,1057.43,48.46,2.24,945.71,119.74,DoS Hulk
2723815,2093,1,122037.5,40.0,44818.59,768.62,58.3,1.9,1301.39,259.02,DoS Hulk
3929496,1861,0,102363.5,0.0,26050.02,473.83,55.0,4.58,2112.63,310.75,DoS Hulk
4263715,1714,3,97525.3,120.0,22901.45,402.08,56.87,6.24,2484.68,386.01,DoS Hulk
3256095,2267,1,127313.1,40.0,39112.21,696.38,56.15,4.72,1436.3,454.09,DoS Hulk
2374048,1230,2,68158.7,80.0,28743.61,518.19,55.39,7.27,1928.55,488.89,DoS Hulk
5192680,2522,1,125258.5,40.0,24129.83,485.74,49.66,3.78,2058.95,270.67,DoS Hulk
6424431,3506,0,201424.5,0.0,31352.89,545.83,57.45,1.62,1832.93,477.66,DoS Hulk
3399298,2292,0,125752.0,0.0,36993.53,674.34,54.87,6.52,1483.76,370.25,DoS Hulk
1891141,3239,0,3731667.0,0.0,1973235.44,1713.08,1152.1,32.36,584.05,79.62,DDoS
2074111,2659,0,2706461.5,0.0,1304877.62,1282.42,1017.85,29.38,780.33,128.1,DDoS
3102435,7684,0,8940064.2,0.0,2881627.97,2477.08,1163.46,17.12,403.81,28.41,DDoS
2187866,2665,0,2388929.5,0.0,1091899.31,1218.13,896.41,15.6,821.27,87.89,DDoS
2280181,5300,0,4495143.3,0.0,1971397.43,2324.5,848.14,25.74,430.3,56.83,DDoS
5920703,5864,0,6091015.1,0.0,1028765.39,990.47,1038.71,39.08,1009.84,225.3,DDoS
5176824,6411,0,5786136.2,0.0,1117699.93,1238.43,902.53,30.06,807.62,190.5,DDoS
4005433,7096,0,6868839.0,0.0,1714880.5,1771.74,967.99,33.08,564.54,49.35,DDoS
2956556,4503,0,4973861.7,0.0,1682315.77,1523.24,1104.57,17.27,656.72,47.92,DDoS
4247790,5482,0,6297408.8,0.0,1482514.08,1290.67,1148.74,14.63,775.0,113.33,DDoS
3896652,3460,0,3466790.5,0.0,889684.29,888.1,1001.96,14.03,1126.53,70.6,DDoS
5954821,8027,0,10322117.3,0.0,1733405.12,1348.0,1285.92,17.64,741.94,138.22,DDoS
4921025,8919,0,9658792.8,0.0,1962760.22,1812.59,1082.95,22.36,551.81,66.09,DDoS
5682881,12570,0,17334233.0,0.0,3050254.35,2212.05,1379.02,13.73,452.13,88.7,DDoS
5722532,6341,0,5325791.7,0.0,930670.49,1108.1,839.9,32.23,902.61,148.84,DDoS
5288229,5487,0,7007779.0,0.0,1325165.45,1037.61,1277.16,16.05,963.95,79.75,DDoS
2239196,4892,0,5866086.9,0.0,2619728.98,2184.78,1199.12,25.69,457.82,55.75,DDoS
5447402,7992,0,10309357.6,0.0,1892527.27,1467.16,1289.96,23.17,681.69,85.48,DDoS
3582059,4700,0,5868258.5,0.0,1638236.11,1312.34,1248.57,25.08,762.3,73.52,DDoS
5548085,8059,0,9075495.5,0.0,1635788.67,1452.62,1126.13,37.19,688.52,120.39,DDoS
2026041,4857,0,5714866.8,0.0,2820706.14,2397.71,1176.62,20.05,417.22,32.48,DDoS
5073113,9406,0,10535441.0,0.0,2076721.0,1854.12,1120.08,36.82,539.41,112.05,DDoS
2182536,2902,0,2754269.3,0.0,1261957.69,1329.93,949.09,32.32,752.34,42.66,DDoS
4064503,8519,0,11296699.9,0.0,2779355.37,2096.18,1326.06,20.26,477.17,102.23,DDoS
1997842,4473,0,3920554.1,0.0,1962393.66,2238.97,876.49,21.92,446.74,93.57,DDoS
21746284,10,7,1305.6,912.8,102.01,0.78,130.49,17.82,1359142.76,79613.68,Bot
39422599,6,6,625.2,556.3,29.97,0.3,98.46,23.17,3583872.72,182194.86,Bot
33038313,10,5,1463.1,453.7,58.02,0.45,127.78,16.72,2359879.55,107167.34,Bot
42515440,10,11,1410.5,1597.7,70.76,0.49,143.25,16.3,2125772.03,124922.18,Bot
56512472,11,10,997.5,1203.4,38.94,0.37,104.8,17.13,2825623.61,112146.59,Bot
48139990,11,4,1592.7,446.2,42.35,0.31,135.93,7.26,3438570.76,271436.94,Bot
52750413,9,10,1300.1,1408.9,51.36,0.36,142.58,15.38,2930578.55,150600.32,Bot
32955121,4,8,413.9,1089.6,45.62,0.36,125.29,5.09,2995920.15,99898.78,Bot
32917591,4,5,577.6,521.2,33.38,0.27,122.09,11.94,4114698.9,253568.68,Bot
35349807,6,6,670.0,539.2,34.21,0.34,100.77,8.53,3213618.85,144245.67,Bot
33851645,11,4,1159.0,482.6,48.49,0.44,109.44,17.65,2417974.66,26396.09,Bot
44859181,10,4,1472.7,361.6,40.89,0.31,131.03,13.29,3450706.29,55123.23,Bot
59859341,4,10,486.7,847.0,22.28,0.23,95.26,20.0,4604564.72,113702.32,Bot
55412443,11,9,1026.8,743.0,31.94,0.36,88.49,14.44,2916444.37,144477.39,Bot
17956888,9,6,1005.6,700.2,95.0,0.84,113.72,13.82,1282634.91,48808.64,Bot
40183814,10,7,927.3,982.3,47.52,0.42,112.33,23.92,2511488.43,90744.23,Bot
27183510,9,5,977.5,408.9,51.0,0.52,99.03,8.12,2091039.25,125709.21,Bot
44651577,4,4,382.2,384.7,17.17,0.18,95.86,18.44,6378796.77,72589.03,Bot
19684886,10,8,925.0,1005.5,98.07,0.91,107.25,9.76,1157934.48,19639.61,Bot
25942748,9,11,1259.1,1519.3,107.1,0.77,138.92,12.94,1365407.82,77508.69,Bot
24224293,10,10,1427.4,809.1,92.33,0.83,111.83,6.71,1274962.8,31302.94,Bot
16193949,8,6,966.5,657.0,100.25,0.86,115.96,22.85,1245688.4,83736.48,Bot
30381780,5,10,532.9,1213.2,57.47,0.49,116.41,10.36,2170127.2,116515.05,Bot
33423524,9,4,994.8,402.5,41.8,0.39,107.48,23.97,2785293.7,176733.59,Bot
21305092,5,9,570.6,1283.6,87.03,0.66,132.44,21.0,1638853.3,65168.91,Bot
8494324,1025,28,1327363.0,1474.7,156438.31,123.97,1261.95,264.47,8074.45,3792.39,Infiltration
26368465,503,45,648492.0,1954.5,24667.59,20.78,1186.95,268.08,48205.6,19725.51,Infiltration
28114573,541,55,692108.2,2273.9,24698.3,21.2,1165.07,301.31,47251.38,30653.51,Infiltration
23844456,841,40,1004932.9,1813.2,42221.39,36.95,1142.73,383.05,27095.97,14235.29,Infiltration
21928157,1320,26,1724429.5,1475.8,78707.27,61.38,1282.25,301.1,16303.46,12805.65,Infiltration
17284793,629,79,908971.5,3451.3,52787.61,40.96,1288.73,222.58,24448.08,19203.8,Infiltration
9501493,1819,30,2233808.7,1631.4,235272.5,194.6,1209.0,274.28,5141.5,3512.69,Infiltration
18473108,1122,43,1612604.3,2350.0,87421.9,63.06,1386.23,253.74,15870.37,6595.59,Infiltration
13769808,1767,62,2482117.0,3664.5,180524.03,132.83,1359.09,238.67,7532.72,5360.78,Infiltration
18433220,572,28,701589.1,1351.2,38134.43,32.55,1171.57,376.23,30773.32,21514.95,Infiltration
18112993,630,69,874307.5,3718.7,48474.94,38.59,1256.12,268.04,25949.85,18038.14,Infiltration
15941425,1567,78,2241174.9,3333.4,140797.22,103.19,1364.44,437.56,9696.73,6041.09,Infiltration
12072924,1841,35,2603653.6,1912.6,215818.97,155.39,1388.89,401.64,6438.89,4696.48,Infiltration
23230084,1209,27,1438565.5,1344.3,61984.7,53.21,1164.98,255.3,18809.78,16812.83,Infiltration
28769305,546,51,739287.9,2983.8,25800.82,20.75,1243.34,245.14,48270.65,33015.8,Infiltration
28140742,834,72,1136882.5,3157.3,40512.08,32.2,1258.32,228.82,31094.74,18995.2,Infiltration
25497520,1746,49,1955097.0,2406.0,76772.29,70.4,1090.53,330.61,14212.66,10265.43,Infiltration
22303681,1675,54,2180588.3,2679.5,97888.23,77.52,1262.73,421.25,12907.22,8585.01,Infiltration
17702707,1482,63,1935601.7,3533.0,109538.87,87.27,1255.1,334.6,11465.48,8379.29,Infiltration
24232826,1684,35,2111153.6,2013.7,87202.67,70.94,1229.3,304.38,14105.25,8900.01,Infiltration
29787508,750,74,875077.7,3528.3,29495.78,27.66,1066.27,433.15,36193.81,15744.85,Infiltration
8208679,528,68,657199.0,3372.6,80472.34,72.61,1108.34,356.88,13796.1,11545.11,Infiltration
29649836,765,49,956553.0,2372.9,32341.69,27.45,1178.04,384.4,36469.66,18941.93,Infiltration
10430430,1665,75,2003671.1,3444.5,192428.83,166.82,1153.51,258.4,5997.95,2525.42,Infiltration
8393226,1084,34,1342379.6,1822.2,160153.16,133.2,1202.33,254.56,7514.08,6574.67,Infiltration
10077105,67,30,14586.1,5017.9,1945.4,9.63,202.1,66.05,104969.85,58939.47,FTP-Patator
11902664,31,28,3723.6,4863.6,721.46,4.96,145.55,68.98,205218.35,90931.17,FTP-Patator
7614196,34,67,3840.3,6315.0,1333.72,13.26,100.55,41.19,76141.97,38972.03,FTP-Patator
6151127,29,47,5941.9,8086.5,2280.61,12.36,184.58,89.69,82015.03,22107.82,FTP-Patator
6566178,42,41,4620.3,6549.4,1701.09,12.64,134.57,43.47,80075.34,23183.98,FTP-Patator
7832769,33,28,5458.6,2241.8,983.09,7.79,126.24,82.65,130546.16,39978.46,FTP-Patator
4165634,33,27,7069.7,4450.5,2765.55,14.4,192.0,78.57,70603.97,32625.87,FTP-Patator
7957716,58,48,7125.0,3386.8,1320.96,13.32,99.17,71.74,75787.77,16636.43,FTP-Patator
7793422,61,37,12583.2,6625.3,2464.71,12.57,196.01,33.69,80344.56,44443.6,FTP-Patator
7644711,27,64,4809.8,8462.8,1736.18,11.9,145.85,46.02,84941.24,46841.01,FTP-Patator
10176834,64,52,12836.8,8600.9,2106.53,11.4,184.81,72.5,88494.21,47327.18,FTP-Patator
9277243,66,60,11247.7,9167.9,2200.61,13.58,162.03,39.52,74217.95,40994.16,FTP-Patator
10846591,55,47,4986.8,7529.1,1153.9,9.4,122.71,43.72,107392.0,60513.3,FTP-Patator
3010081,26,38,4897.4,3741.3,2869.94,21.26,134.98,41.59,47779.06,11163.07,FTP-Patator
5937902,65,41,6828.9,4568.9,1919.5,17.85,107.53,30.54,56551.45,29829.29,FTP-Patator
4156038,43,54,3973.0,6347.5,2483.26,23.34,106.4,80.41,43292.07,15449.23,FTP-Patator
4615475,61,53,11745.2,4723.0,3568.04,24.7,144.46,76.25,40844.92,23645.91,FTP-Patator
4497398,36,46,6556.1,5616.3,2706.54,18.23,148.44,33.48,55523.44,12763.6,FTP-Patator
10671731,38,53,5623.0,7485.4,1228.33,8.53,144.05,65.66,118574.8,41909.66,FTP-Patator
3590635,57,30,7885.3,4802.0,3533.44,24.23,145.83,45.15,41751.57,8367.51,FTP-Patator
4430444,58,53,12340.0,4305.8,3757.15,25.05,149.96,81.25,40276.77,16546.08,FTP-Patator
10433286,35,56,3524.8,8111.9,1115.34,8.72,127.88,69.27,115925.41,35856.17,FTP-Patator
11557772,68,52,12584.4,8842.5,1853.9,10.38,178.56,81.44,97124.13,56896.11,FTP-Patator
9840846,29,27,3786.1,2842.6,673.59,5.69,118.37,73.47,178924.49,89164.3,FTP-Patator
4803232,49,48,6757.5,7923.8,3056.55,20.19,151.35,58.39,50033.67,29383.64,FTP-Patator
