dur,spkts,dpkts,sbytes,dbytes,rate,sinpkt,dinpkt,attack_cat
1.287473,33,42,8379,5780,58.2537,40.2335,31.4018,Exploits
2.290336,37,23,9025,2500,26.197,63.6204,104.1062,Exploits
7.406496,48,46,10505,9530,12.6916,157.585,164.5888,Exploits
5.621382,15,30,3195,5957,8.0051,401.5273,193.8407,Exploits
4.04971,43,17,7077,2607,14.8159,96.4217,253.1069,Exploits
6.304923,43,28,5870,3195,11.261,150.1172,233.5157,Exploits
3.179893,19,26,2338,5577,14.1514,176.6607,127.1957,Exploits
6.648391,47,44,11137,4717,13.6875,144.5302,154.6137,Exploits
7.64402,48,45,5892,10800,12.1664,162.6387,173.7277,Exploits
4.507279,19,18,4386,4348,8.2089,250.4044,265.1341,Exploits
7.609761,42,46,12148,8570,11.5641,185.6039,169.1058,Exploits
